Estudiantes;DC;DO;DM;DA;RPE
1;3;4;5;4;5
2;4;4;3;4;4
3;3;4;4;5;4
4;3;3;3;4;4
5;4;5;3;5;5
6;3;5;4;4;4
7;5;5;3;4;4
8;3;5;5;5;4
9;5;3;4;3;4
10;3;3;3;3;4
11;5;3;5;3;4
12;4;5;4;4;3
13;5;4;5;4;4
14;4;4;4;4;4
15;3;5;5;3;3
16;5;4;5;3;5
17;3;5;5;3;5
18;5;4;3;5;5
19;5;3;4;3;4
20;4;5;4;3;4
21;3;3;3;3;4
22;4;4;3;3;5
23;3;4;5;3;5
24;3;3;5;3;3.5
25;3;3;5;4;3.5
26;4;4;3;4;4
27;5;5;3;4;3.5
28;3;4;4;5;4
29;4;3;3;4;3
30;4;3;4;4;4
31;4;4;3;5;4.5
32;4;3;5;5;4
33;3;5;3;5;4
34;3;5;5;3;4.5
35;4;4;5;3;4
36;4;4;5;3;3.5
37;4;5;3;5;3.5
38;3;5;3;4;3.5
39;4;3;4;5;3.5
40;3;4;4;4;5
41;5;3;3;3;4
42;5;3;5;4;4.5
43;4;4;3;3;4
44;5;5;5;3;5
45;5;4;5;3;4
46;4;5;5;4;3.5
47;4;3;3;5;3
48;3;4;3;5;3.5
49;3;5;3;3;3.5
50;4;3;5;4;4
51;5;5;3;5;4
52;5;5;3;3;4.5
53;5;5;4;5;3.5
54;5;3;3;4;4
55;4;4;4;5;3
56;4;3;5;5;3.5
57;5;3;4;5;3
58;5;3;4;3;4
59;4;4;4;3;4
60;4;5;5;5;3.5
61;5;5;4;5;4
62;5;5;5;4;4
63;4;4;5;5;4
64;4;3;5;4;4
65;5;5;3;5;4
66;5;4;4;3;4
67;4;3;4;3;4
68;3;3;5;3;4
69;4;4;3;5;4
70;3;4;5;5;3
71;4;4;4;3;3
72;4;3;5;3;3
73;4;3;3;4;3
74;3;4;5;5;3
75;3;5;3;5;4
76;4;5;4;5;3.5
77;5;5;3;4;3.5
78;4;5;5;5;3
79;4;4;5;3;3.5
80;4;4;5;4;3.5
81;5;5;5;5;3
82;5;5;4;5;3.5
83;3;5;4;5;3.5
84;4;4;3;5;3.5
85;3;4;3;5;3.5
86;4;5;4;4;3.5
87;4;4;5;3;3
88;3;4;5;3;4.5
89;4;3;4;3;4
90;3;4;3;4;4.5
91;3;4;5;3;5
92;4;5;5;3;3.5
93;5;3;3;3;3.5
94;3;5;5;5;4
95;4;4;5;3;3.5
96;4;4;4;5;3.5
97;3;5;3;3;4
98;4;5;5;5;4.5
99;3;5;4;5;3.5
100;5;5;4;3;3
101;4;3;5;4;2.5
102;4;4;5;4;4.5
103;5;4;5;5;5
104;3;5;5;5;5
105;5;5;3;4;4
106;5;5;5;5;3.5
107;5;3;5;5;4
108;5;4;5;3;3
109;3;4;4;3;5
